property_type,society,sector,price_cr,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,super_built_up_area,built_up_area,carpet_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score,nearbyLoc_score
house,sushant lok 1 builder floors,sector 43,10.85,28841.0,3762.0,Plot area 418(349.5 sq.m.),8,8,3,3.0,West,Moderately Old,,3762.0,,1,1,1,1,0,1,160,63
house,independent,sector 43,2.5,25960.0,963.0,Plot area 107(89.47 sq.m.),7,7,3,4.0,West,Relatively New,,963.0,,0,0,0,0,1,2,20,63
house,independent,sector 13,0.62,32291.0,192.0,Built Up area: 192 (17.84 sq.m.),6,6,0,3.0,,Undefined,,192.0,,0,0,0,0,0,0,0,0
house,uppal southend,sector 49,6.75,290948.0,232.0,Plot area 232(21.55 sq.m.),12,12,3+,,West,Moderately Old,,232.0,,1,1,0,1,1,2,49,51
house,vatika india next,sector 82,7.0,194444.0,360.0,Plot area 360(33.45 sq.m.)Built Up area: 3900 sq.ft. (362.32 sq.m.)Carpet area: 3743 sq.ft. (347.74 sq.m.),4,4,3+,3.0,North-East,Relatively New,,3900.0,3743.0,0,1,0,0,0,1,105,58
house,dlf city plots,sector 26,17.3,38734.0,4466.0,Plot area 502(419.74 sq.m.),6,7,3+,3.0,North,New Property,,4518.0,,1,1,1,1,0,2,124,50
house,nul,sector 28,12.5,51440.0,2430.0,Plot area 270(225.75 sq.m.),16,17,3+,4.0,South,Relatively New,,2430.0,,1,1,0,1,1,1,137,69
house,emaar mgf marbella,sector 66,8.8,41615.0,2115.0,Built Up area: 267 (223.25 sq.m.),4,4,3+,3.0,South-East,Relatively New,,267.0,,0,1,1,1,0,0,107,61
house,independent,sector 43,7.85,29074.0,2700.0,Plot area 300(250.84 sq.m.),9,9,3+,3.0,West,Relatively New,,2700.0,,1,1,0,1,1,1,49,54
house,independent,sector 70a,2.1,35000.0,600.0,Carpet area: 600 (55.74 sq.m.),3,2,1,3.0,,New Property,,,600.0,0,0,0,0,0,0,0,28
house,dlf city phase 1,sector 26,5.5,30556.0,1800.0,Plot area 200(167.23 sq.m.),4,4,3,2.0,North-East,Moderately Old,,1800.0,,1,1,0,1,0,0,69,68
flat,dlf park place,sector 54,4.85,25866.0,1875.0,Super Built up area 1875(174.19 sq.m.),3,4,3+,25.0,South-East,Relatively New,1875.0,,,0,1,0,0,0,2,26,47
house,ss hibiscus,sector 50,12.5,40850.0,3060.0,Plot area 470(392.98 sq.m.)Built Up area: 410 sq.yards (342.81 sq.m.)Carpet area: 340 sq.yards (284.28 sq.m.),4,4,3+,2.0,West,Relatively New,,410.0,340.0,1,1,0,0,0,1,160,32
flat,dlf the crest,sector 54,11.0,35483.0,3100.0,Carpet area: 3100 (288 sq.m.),4,5,3+,7.0,North-East,Relatively New,,,3100.0,1,1,0,1,0,0,49,84
house,independent,sector 26,19.0,42222.0,4500.0,Plot area 500(418.06 sq.m.),6,8,3+,3.0,East,Moderately Old,,4500.0,,1,1,1,1,0,2,103,61
house,independent,sector 41,7.0,28283.0,2475.0,Plot area 275(229.94 sq.m.),7,7,3+,3.0,South-West,Moderately Old,,2475.0,,1,1,1,1,0,1,151,69
house,ss omnia,sector 86,0.42,84000.0,50.0,Plot area 50(4.65 sq.m.),5,3,2,3.0,,Relatively New,,50.0,,0,0,0,0,0,0,0,8
house,sushant lok 1 builder floors,sector 43,1.65,30556.0,540.0,Plot area 60(50.17 sq.m.)Built Up area: 540 sq.yards (451.51 sq.m.)Carpet area: 500 sq.yards (418.06 sq.m.),4,4,3+,4.0,West,Moderately Old,,540.0,500.0,0,0,0,0,1,1,49,63
house,unitech escape,sector 50,10.8,60000.0,1800.0,Plot area 290(242.48 sq.m.)Built Up area: 250 sq.yards (209.03 sq.m.)Carpet area: 200 sq.yards (167.23 sq.m.),4,4,3,2.0,North,Relatively New,,250.0,200.0,1,1,1,1,0,2,103,62
house,vipul tatvam villa,sector 48,7.25,201388.0,360.0,Plot area 360(33.45 sq.m.),4,4,3,2.0,,Relatively New,,360.0,,1,1,1,1,0,2,103,37
house,vipul tatvam villa,sector 48,22.0,26667.0,8250.0,Plot area 1000(836.13 sq.m.),5,6,3,3.0,,Moderately Old,,9000.0,,0,1,0,0,0,0,54,37
house,unitech palms south city 1,sector 41,9.25,28549.0,3240.0,Plot area 3240(301.01 sq.m.)Built Up area: 5000 sq.ft. (464.52 sq.m.)Carpet area: 4500 sq.ft. (418.06 sq.m.),9,9,3+,4.0,North,Moderately Old,,5000.0,4500.0,1,1,1,1,0,2,65,69
house,unitech espace,sector 50,7.45,34491.0,2160.0,Plot area 240(200.67 sq.m.)Built Up area: 4500 sq.yards (3762.57 sq.m.)Carpet area: 4000 sq.yards (3344.51 sq.m.),4,4,3,3.0,,Old Property,,4500.0,4000.0,0,1,0,0,0,2,59,73
house,independent,sector 47,4.3,29311.0,1467.0,Plot area 163(136.29 sq.m.),6,4,2,2.0,,Moderately Old,,1467.0,,0,0,0,0,1,0,0,66
house,independent,sector 43,9.5,42222.0,2250.0,Plot area 302(252.51 sq.m.)Built Up area: 300 sq.yards (250.84 sq.m.)Carpet area: 250 sq.yards (209.03 sq.m.),5,5,3+,2.0,North-East,Relatively New,,300.0,250.0,0,1,0,1,0,2,88,63
house,independent,sector 26,14.75,51864.0,2844.0,Plot area 316(264.22 sq.m.),16,20,3+,4.0,East,New Property,,2844.0,,1,1,1,1,0,2,153,61
house,independent,sector 43,3.35,26973.0,1242.0,Plot area 138(115.39 sq.m.),1,1,0,1.0,East,Old Property,,1242.0,,0,0,0,0,0,0,9,63
house,independent,sector 25,6.5,36111.0,1800.0,Plot area 200(167.23 sq.m.),4,3,3,3.0,,Moderately Old,,1800.0,,1,0,0,1,0,0,19,61
house,independent,sector 43,5.25,27132.0,1935.0,Plot area 215(179.77 sq.m.),4,4,2,2.0,,Old Property,,1935.0,,1,1,0,0,0,2,80,63
