,property_type,society,sector,price_cr,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,super_built_up_area,built_up_area,carpet_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score,nearbyLoc_score,area_room_ratio
1182,flat,tata gurgaon gateway,sector 113,3.21,11825.0,2715.0,Super Built up area 2520(234.12 sq.m.),3.0,3.0,3,9.0,,New Property,2520.0,,,0.0,0.0,0.0,0.0,0.0,0.0,49.0,74.0,905.0
1183,flat,corona optus,sector 37c,1.26,7250.0,1738.0,Super Built up area 1735(161.19 sq.m.)Built Up area: 1400 sq.ft. (130.06 sq.m.)Carpet area: 965 sq.ft. (89.65 sq.m.),3.0,3.0,3,4.0,North-East,New Property,1735.0,1400.0,965.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,61.0,579.3333333333334
1184,flat,adani m2k oyster grande,sector 102,2.4,9305.0,2579.0,Super Built up area 2579(239.6 sq.m.)Carpet area: 2100 sq.ft. (195.1 sq.m.),3.0,4.0,3+,3.0,North-East,Relatively New,2579.0,,2100.0,1.0,0.0,0.0,0.0,0.0,2.0,49.0,47.0,859.6666666666666
1185,flat,ramprastha primera,sector 37d,1.2,13333.0,900.0,Carpet area: 900 (83.61 sq.m.),3.0,3.0,3,5.0,North-East,Relatively New,,,900.0,0.0,0.0,1.0,0.0,0.0,0.0,50.0,55.0,300.0
1186,flat,emaar palm gardens,sector 83,1.75,9210.0,1900.0,Super Built up area 1900(176.52 sq.m.)Built Up area: 1600 sq.ft. (148.64 sq.m.)Carpet area: 1240.04 sq.ft. (115.2 sq.m.),3.0,3.0,3,6.0,East,Relatively New,1900.0,1600.0,1240.04,0.0,1.0,0.0,0.0,0.0,2.0,174.0,43.0,633.3333333333334
1187,flat,shapoorji pallonji joyville gurugram,sector 102,2.15,12706.0,1692.0,Super Built up area 1692(157.19 sq.m.)Built Up area: 1690 sq.ft. (157.01 sq.m.)Carpet area: 1592 sq.ft. (147.9 sq.m.),3.0,3.0,3,10.0,South-West,Relatively New,1692.0,1690.0,1592.0,0.0,0.0,0.0,0.0,0.0,2.0,49.0,71.0,564.0
1188,flat,puri diplomatic greens,sector 111,2.58,11727.0,2200.0,Super Built up area 2200(204.39 sq.m.),3.0,4.0,2,10.0,North,Moderately Old,2200.0,,,0.0,1.0,0.0,0.0,0.0,0.0,86.0,68.0,733.3333333333334
1189,flat,mapsko mount ville,sector 79,1.3,8024.0,1620.0,Super Built up area 1620(150.5 sq.m.)Carpet area: 867.24 sq.ft. (80.57 sq.m.),3.0,3.0,2,6.0,West,Relatively New,1620.0,,867.24,1.0,0.0,0.0,1.0,0.0,0.0,151.0,49.0,540.0
1190,flat,umang winter hills,sector 77,1.35,7780.0,1735.0,Super Built up area 1735(161.19 sq.m.)Carpet area: 1199 sq.ft. (111.39 sq.m.),3.0,3.0,3+,7.0,,New Property,1735.0,,1199.0,0.0,0.0,1.0,0.0,0.0,2.0,96.0,64.0,578.3333333333334
1191,flat,imperia the esfera,sector 37c,0.99,5500.0,1800.0,Super Built up area 1815(168.62 sq.m.),3.0,3.0,1,10.0,North-East,New Property,1815.0,,,0.0,1.0,0.0,0.0,0.0,0.0,49.0,43.0,600.0
1192,flat,antriksh heights,sector 84,0.9,4444.0,2025.0,Super Built up area 2025(188.13 sq.m.),3.0,3.0,3,18.0,,Relatively New,2025.0,,,0.0,1.0,0.0,1.0,0.0,0.0,59.0,23.0,675.0
1193,flat,emaar mgf the palm drive,sector 66,2.85,14615.0,1950.0,Super Built up area 1950(181.16 sq.m.)Built Up area: 1920 sq.ft. (178.37 sq.m.)Carpet area: 1550 sq.ft. (144 sq.m.),3.0,3.0,3,11.0,North-East,Relatively New,1950.0,1920.0,1550.0,1.0,0.0,0.0,0.0,0.0,2.0,67.0,61.0,650.0
1194,flat,m3m soulitude,sector 89,1.25,8784.0,1423.0,Carpet area: 1423 (132.2 sq.m.),3.0,3.0,2,3.0,,New Property,,,1423.0,1.0,0.0,0.0,0.0,0.0,0.0,49.0,41.0,474.3333333333333
1195,flat,godrej summit,sector 104,1.25,6778.0,1844.0,Super Built up area 1844(171.31 sq.m.),3.0,4.0,3+,12.0,East,Relatively New,1844.0,,,0.0,1.0,0.0,0.0,1.0,0.0,79.0,65.0,614.6666666666666
1196,flat,unitech vistas,sector 70,0.99,6325.0,1565.0,Super Built up area 1565(145.39 sq.m.),3.0,4.0,2,11.0,,Under Construction,1565.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,521.6666666666666
1197,flat,godrej aria,sector 79,1.69,8522.0,1983.0,Super Built up area 1983(184.23 sq.m.),3.0,3.0,2,7.0,South,Relatively New,1983.0,,,0.0,0.0,0.0,0.0,0.0,0.0,112.0,53.0,661.0
1198,flat,godrej summit,sector 104,1.16,6387.0,1816.0,Carpet area: 1816 (168.71 sq.m.),3.0,4.0,3+,8.0,East,Relatively New,,,1816.0,0.0,1.0,0.0,0.0,0.0,2.0,96.0,65.0,605.3333333333334
1199,house,independent,sector 4,0.7,6648.0,1053.0,Built Up area: 117 (97.83 sq.m.),3.0,3.0,0,1.0,,Undefined,,117.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,351.0
1200,flat,emaar mgf emerald floors premier,sector 65,2.35,14242.0,1650.0,Super Built up area 1650(153.29 sq.m.),3.0,3.0,3,2.0,West,Relatively New,1650.0,,,1.0,1.0,0.0,0.0,0.0,2.0,168.0,31.0,550.0
1201,flat,vatika gurgaon,sector 83,1.12,6455.0,1735.0,Super Built up area 1735(161.19 sq.m.)Built Up area: 1500 sq.ft. (139.35 sq.m.)Carpet area: 1400 sq.ft. (130.06 sq.m.),3.0,3.0,2,17.0,South,Moderately Old,1735.0,1500.0,1400.0,0.0,0.0,0.0,0.0,0.0,2.0,111.0,50.0,578.3333333333334
1202,flat,emaar gurgaon greens,sector 102,1.4,8484.0,1650.0,Super Built up area 1650(153.29 sq.m.)Built Up area: 1300 sq.ft. (120.77 sq.m.)Carpet area: 1022.58 sq.ft. (95 sq.m.),3.0,3.0,3,10.0,East,Relatively New,1650.0,1300.0,1022.58,0.0,1.0,0.0,0.0,0.0,0.0,46.0,57.0,550.0
1203,flat,m3m golfestate,sector 65,5.0,18518.0,2700.0,Super Built up area 2979(276.76 sq.m.)Built Up area: 2800 sq.ft. (260.13 sq.m.)Carpet area: 2700 sq.ft. (250.84 sq.m.),3.0,3.0,3+,28.0,North-East,Relatively New,2979.0,2800.0,2700.0,0.0,1.0,0.0,1.0,0.0,2.0,165.0,64.0,900.0
